,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
104,SVC_1,VGG19,0.644376899696,0.703379129582,SVC,0.967368492124,0.644376899696,0.644376899696
833,SVC_1,VGG16,0.617889709075,0.724604406212,SVC,0.968102215961,0.617889709075,0.617889709075
284,SVC_1,VGG19,0.640903169779,0.704977968929,SVC,0.968174415447,0.640903169779,0.640903169779
824,SVC_1,VGG19,0.648284845853,0.706050503078,SVC,0.96835995862,0.648284845853,0.648284845853
535,SVC_0,VGG19,0.674772036474,0.617120220273,SVC,0.968654645599,0.674772036474,0.674772036474
35,RandomForestClassifier_1,VGG19,0.697351280938,0.728955795527,RandomForestClassifier,0.969060376973,0.697351280938,0.697351280938
689,SVC_1,VGG16,0.62483716891,0.702731874761,SVC,0.969106301506,0.62483716891,0.62483716891
644,SVC_1,VGG19,0.649153278333,0.711070185492,SVC,0.969107158477,0.649153278333,0.649153278333
356,SVC_1,VGG19,0.649587494572,0.685679861354,SVC,0.969203718394,0.649587494572,0.649587494572
859,SVC_0,VGG19,0.66695614416,0.628149857119,SVC,0.969808409885,0.66695614416,0.66695614416
473,SVC_1,VGG16,0.629179331307,0.699607361542,SVC,0.970277190847,0.629179331307,0.629179331307
653,SVC_1,VGG16,0.627876682588,0.68586279607,SVC,0.971500681498,0.627876682588,0.627876682588
212,SVC_1,VGG19,0.648284845853,0.715207492046,SVC,0.971597860039,0.648284845853,0.648284845853
176,SVC_1,VGG19,0.643942683456,0.702784805799,SVC,0.971701755527,0.643942683456,0.643942683456
715,SVC_0,VGG19,0.678679982631,0.628084160236,SVC,0.973119003992,0.678679982631,0.678679982631
77,SVC_1,VGG16,0.627442466348,0.727033187768,SVC,0.973699710977,0.627442466348,0.627442466348
320,SVC_1,VGG19,0.63916630482,0.695441539785,SVC,0.973962228129,0.63916630482,0.63916630482
68,SVC_1,VGG19,0.637863656101,0.699496783842,SVC,0.974227615124,0.637863656101,0.637863656101
751,SVC_0,VGG19,0.671732522796,0.610818937501,SVC,0.974771725599,0.671732522796,0.671732522796
860,SVC_1,VGG19,0.636126791142,0.695977372605,SVC,0.975087035682,0.636126791142,0.636126791142
464,SVC_1,VGG19,0.643074250977,0.699487697917,SVC,0.975134677708,0.643074250977,0.643074250977
571,SVC_0,VGG19,0.66652192792,0.61976159786,SVC,0.975428304706,0.66652192792,0.66652192792
329,SVC_1,VGG16,0.633955709944,0.685819465792,SVC,0.976091970398,0.633955709944,0.633955709944
103,SVC_0,VGG19,0.657403386887,0.625138439029,SVC,0.976779147058,0.657403386887,0.657403386887
643,SVC_0,VGG19,0.664785062961,0.612004956293,SVC,0.977433688702,0.664785062961,0.664785062961
257,SVC_1,VGG16,0.618758141554,0.685670003418,SVC,0.977482059051,0.618758141554,0.618758141554
895,SVC_0,VGG19,0.66608771168,0.612532886313,SVC,0.977498844458,0.66608771168,0.66608771168
788,SVC_1,VGG19,0.63916630482,0.686863538669,SVC,0.97809985972,0.63916630482,0.63916630482
500,SVC_1,VGG19,0.635692574902,0.717788221724,SVC,0.978417137093,0.635692574902,0.635692574902
355,SVC_0,VGG19,0.670864090317,0.622024696516,SVC,0.979190066077,0.670864090317,0.670864090317
175,SVC_0,VGG19,0.660877116804,0.628159592435,SVC,0.979851578897,0.660877116804,0.660877116804
319,SVC_0,VGG19,0.66608771168,0.619032058979,SVC,0.980279802144,0.66608771168,0.66608771168
680,SVC_1,VGG19,0.644376899696,0.681771252622,SVC,0.980934552686,0.644376899696,0.644376899696
365,SVC_1,VGG16,0.627876682588,0.701635545763,SVC,0.980954801184,0.627876682588,0.627876682588
761,SVC_1,VGG16,0.626139817629,0.699477504001,SVC,0.981713966021,0.626139817629,0.626139817629
283,SVC_0,VGG19,0.66695614416,0.589688496934,SVC,0.981909076515,0.66695614416,0.66695614416
823,SVC_0,VGG19,0.667824576639,0.618530011491,SVC,0.982142872951,0.667824576639,0.667824576639
8,RandomForestClassifier_1,VGG16,0.710377768129,0.734089112411,RandomForestClassifier,0.982524036376,0.710377768129,0.710377768129
401,SVC_1,VGG16,0.627442466348,0.730415367167,SVC,0.982557405371,0.627442466348,0.627442466348
41,SVC_1,VGG16,0.616152844116,0.700758178667,SVC,0.982579720979,0.616152844116,0.616152844116
149,SVC_1,VGG16,0.623534520191,0.687287344952,SVC,0.982941561487,0.623534520191,0.623534520191
581,SVC_1,VGG16,0.61094224924,0.697420387169,SVC,0.983706806641,0.61094224924,0.61094224924
608,SVC_1,VGG19,0.63829787234,0.709466465604,SVC,0.986136498371,0.63829787234,0.63829787234
